Event,Event Start Time,Event End Time
45.5,035 19:35:41.025119,035 19:35:41.075144
45,035 19:35:42.025230,035 19:35:42.075243
45.5,035 19:35:44.025228,035 19:35:44.075223
45,035 19:35:52.025508,035 19:35:52.075506
45.5,035 19:35:53.025667,035 19:35:53.075643
45,035 19:35:54.025649,035 19:35:54.075585
45.5,035 19:35:59.025757,035 19:35:59.075761
45,035 19:36:00.025800,035 19:36:00.075835
45.5,035 19:36:01.025931,035 19:36:01.075965
45,035 19:36:02.025872,035 19:36:02.075885
45.5,035 19:36:03.025904,035 19:36:03.075908
45,035 19:36:06.026022,035 19:36:06.076008
45.5,035 19:36:08.026185,035 19:36:08.076204
45,035 19:36:13.026286,035 19:36:13.076272
45.5,035 19:36:14.026307,035 19:36:14.076298
45,035 19:36:15.026341,035 19:36:15.076340
45.5,035 19:36:19.026483,035 19:36:19.076498
46,035 19:36:20.026576,035 19:36:20.076624
45.5,035 19:36:21.026570,035 19:36:21.076560
46,035 19:36:24.026752,035 19:36:24.076771
45.5,035 19:36:27.026872,035 19:36:27.076866
46,035 19:36:29.026865,035 19:36:29.076855
45.5,035 19:36:34.027023,035 19:36:34.077033
46,035 19:36:35.027178,035 19:36:35.077148
45.5,035 19:36:36.027146,035 19:36:36.077117
77.5,035 19:36:37.027133,035 19:36:37.077141
75.5,035 19:36:38.027234,035 19:36:38.077184
74.5,035 19:36:39.027333,035 19:36:39.077340
43.5,035 19:36:40.027262,035 19:36:40.077256
43,035 19:36:41.027352,035 19:36:41.077303
42.5,035 19:36:45.027438,035 19:36:45.077431
43,035 19:36:46.027487,035 19:36:46.077566
42.5,035 19:36:49.027587,035 19:36:49.077583
43,035 19:36:50.027730,035 19:36:50.077744
43.5,035 19:36:56.027862,035 19:36:56.077837
43,035 19:36:57.027887,035 19:36:57.077879
42.5,035 19:36:58.028083,035 19:36:58.077993
43,035 19:37:00.027996,035 19:37:00.077990
42.5,035 19:37:01.028030,035 19:37:01.078039
42,035 19:37:03.028088,035 19:37:03.078096
42.5,035 19:37:05.028158,035 19:37:05.078266
43,035 19:37:30.029047,035 19:37:30.079057
42.5,035 19:37:31.029088,035 19:37:31.079092
43,035 19:37:36.029417,035 19:37:36.079463
42.5,035 19:37:37.029323,035 19:37:37.079327
43,035 19:37:46.029621,035 19:37:46.079634
42.5,035 19:37:47.029669,035 19:37:47.079673
43,035 19:37:53.029880,035 19:37:53.079883
42.5,035 19:38:04.030281,035 19:38:04.080290
43,035 19:38:06.030351,035 19:38:06.080358
42.5,035 19:38:07.030460,035 19:38:07.080497
42,035 19:38:15.030750,035 19:38:15.080736
42.5,035 19:38:16.030739,035 19:38:16.080735
42,035 19:38:19.030924,035 19:38:19.080835
42.5,035 19:38:20.030850,035 19:38:20.080856
42,035 19:38:21.030892,035 19:38:21.080894
42.5,035 19:38:23.030991,035 19:38:23.080977
43,035 19:38:25.031043,035 19:38:25.081047
42.5,035 19:38:27.031121,035 19:38:27.081121
43,035 19:38:42.031752,035 19:38:42.081683
42.5,035 19:38:45.031868,035 19:38:45.081916
43,035 19:38:48.031885,035 19:38:48.081889
42.5,035 19:38:51.032018,035 19:38:51.082013
43,035 19:38:55.032163,035 19:38:55.082147
42.5,035 19:38:56.032180,035 19:38:56.082214
43,035 19:39:04.032567,035 19:39:04.082610
42.5,035 19:39:08.032699,035 19:39:08.082738
42,035 19:39:11.032728,035 19:39:11.082736
43,035 19:39:14.032831,035 19:39:14.082840
