Event,Event Start Time,Event End Time
37,035 20:42:51.178582,035 20:42:51.228568
37.5,035 20:42:54.178696,035 20:42:54.228726
37,035 20:42:57.178722,035 20:42:57.228807
37.5,035 20:42:58.178815,035 20:42:58.228766
36.5,035 20:42:59.178796,035 20:42:59.228800
36,035 20:43:04.179111,035 20:43:04.229111
36.5,035 20:43:05.179040,035 20:43:05.229044
37,035 20:43:08.179152,035 20:43:08.229159
37.5,035 20:43:10.179275,035 20:43:10.229349
37,035 20:43:14.179448,035 20:43:14.229519
36.5,035 20:43:15.179433,035 20:43:15.229433
37,035 20:43:20.179724,035 20:43:20.229748
36.5,035 20:43:21.179664,035 20:43:21.229665
37,035 20:43:28.179941,035 20:43:28.229945
36.5,035 20:43:29.179978,035 20:43:29.229988
37,035 20:43:32.180087,035 20:43:32.230093
36.5,035 20:43:34.180175,035 20:43:34.230173
37,035 20:43:40.180458,035 20:43:40.230520
38,035 20:43:43.180591,035 20:43:43.230624
37,035 20:43:45.180605,035 20:43:45.230593
36.5,035 20:43:47.180717,035 20:43:47.230679
37,035 20:43:49.180746,035 20:43:49.230783
36.5,035 20:43:52.180861,035 20:43:52.230867
37,035 20:43:54.180941,035 20:43:54.230941
36.5,035 20:43:55.180988,035 20:43:55.230987
37,035 20:43:56.181122,035 20:43:56.231106
36.5,035 20:43:57.181058,035 20:43:57.231062
37,035 20:43:58.181096,035 20:43:58.231100
36.5,035 20:44:01.181208,035 20:44:01.231213
37,035 20:44:02.181250,035 20:44:02.231368
36.5,035 20:44:07.181447,035 20:44:07.231447
37,035 20:44:10.181575,035 20:44:10.231581
36.5,035 20:44:12.181684,035 20:44:12.231744
36,035 20:44:17.181819,035 20:44:17.231823
36.5,035 20:44:18.181872,035 20:44:18.231877
37,035 20:44:26.182189,035 20:44:26.232174
36.5,035 20:44:27.182199,035 20:44:27.232205
37,035 20:44:28.182238,035 20:44:28.232317
36.5,035 20:44:30.182319,035 20:44:30.232325
37,035 20:44:32.182455,035 20:44:32.232515
36.5,035 20:44:34.182489,035 20:44:34.232500
37,035 20:44:36.182591,035 20:44:36.232586
36.5,035 20:44:37.182591,035 20:44:37.232606
37,035 20:44:38.182699,035 20:44:38.232761
36.5,035 20:44:39.182689,035 20:44:39.232684
37,035 20:44:42.182890,035 20:44:42.232875
36.5,035 20:44:45.182968,035 20:44:45.233034
37,035 20:44:46.182974,035 20:44:46.232973
36.5,035 20:44:47.182993,035 20:44:47.233000
37,035 20:44:48.183127,035 20:44:48.233143
36.5,035 20:44:50.183114,035 20:44:50.233122
37,035 20:44:52.183238,035 20:44:52.233201
37.5,035 20:44:53.183249,035 20:44:53.233245
51,035 20:44:54.183276,035 20:44:54.233287
50,035 20:44:55.183423,035 20:44:55.233386
49,035 20:44:56.183362,035 20:44:56.233368
48.5,035 20:44:57.183434,035 20:44:57.233417
37,035 20:44:59.183509,035 20:44:59.233497
36.5,035 20:45:00.183527,035 20:45:00.233522
37,035 20:45:02.183608,035 20:45:02.233623
36.5,035 20:45:04.183769,035 20:45:04.233810
37,035 20:45:06.183751,035 20:45:06.233762
36.5,035 20:45:07.183789,035 20:45:07.233880
37.5,035 20:45:10.183917,035 20:45:10.233925
37,035 20:45:11.184063,035 20:45:11.234076
37.5,035 20:45:12.184004,035 20:45:12.234003
36.5,035 20:45:13.184054,035 20:45:13.234045
36,035 20:45:15.184130,035 20:45:15.234117
36.5,035 20:45:16.184145,035 20:45:16.234158
36,035 20:45:18.184304,035 20:45:18.234233
37,035 20:45:19.184260,035 20:45:19.234282
37.5,035 20:45:20.184311,035 20:45:20.234314
37,035 20:45:21.184433,035 20:45:21.234408
37.5,035 20:45:24.184557,035 20:45:24.234579
37,035 20:45:26.184541,035 20:45:26.234565
37.5,035 20:45:27.184651,035 20:45:27.234656
38,035 20:45:28.184630,035 20:45:28.234615
37.5,035 20:45:30.184741,035 20:45:30.234817
37,035 20:45:32.184785,035 20:45:32.234774
37.5,035 20:45:36.184930,035 20:45:36.234923
37,035 20:45:41.185131,035 20:45:41.235133
36.5,035 20:45:42.185163,035 20:45:42.235165
37,035 20:45:43.185252,035 20:45:43.235311
37.5,035 20:45:47.185460,035 20:45:47.235411
57.5,035 20:45:49.185449,035 20:45:49.235428
41.5,035 20:45:50.185582,035 20:45:50.235545
40,035 20:45:51.185513,035 20:45:51.235508
39,035 20:45:52.185565,035 20:45:52.235562
38,035 20:45:54.185654,035 20:45:54.235633
37.5,035 20:45:55.185681,035 20:45:55.235672
37,035 20:45:57.185795,035 20:45:57.235755
36.5,035 20:45:58.185782,035 20:45:58.235784
37,035 20:45:59.185813,035 20:45:59.235879
36.5,035 20:46:01.185895,035 20:46:01.235896
37,035 20:46:06.186202,035 20:46:06.236220
37.5,035 20:46:11.186278,035 20:46:11.236286
37,035 20:46:12.186393,035 20:46:12.236325
36.5,035 20:46:14.186404,035 20:46:14.236408
37,035 20:46:15.186437,035 20:46:15.236443
37.5,035 20:46:16.186542,035 20:46:16.236547
37,035 20:46:19.186697,035 20:46:19.236696
37.5,035 20:46:20.186642,035 20:46:20.236640
37,035 20:46:21.186666,035 20:46:21.236673
37.5,035 20:46:23.186828,035 20:46:23.236767
37,035 20:46:27.186912,035 20:46:27.236913
37.5,035 20:46:28.186943,035 20:46:28.236951
37,035 20:46:31.187055,035 20:46:31.237064
37.5,035 20:46:32.187192,035 20:46:32.237181
37,035 20:46:33.187135,035 20:46:33.237145
37.5,035 20:46:35.187241,035 20:46:35.237339
37,035 20:46:39.187442,035 20:46:39.237460
37.5,035 20:46:40.187422,035 20:46:40.237432
38,035 20:46:44.187593,035 20:46:44.237588
37,035 20:46:45.187717,035 20:46:45.237692
37.5,035 20:46:47.187698,035 20:46:47.237702
37,035 20:46:49.187807,035 20:46:49.237786
36.5,035 20:46:57.188088,035 20:46:57.238098
37,035 20:46:58.188229,035 20:46:58.238252
37.5,035 20:47:00.188225,035 20:47:00.238216
37,035 20:47:01.188282,035 20:47:01.238380
37.5,035 20:47:03.188345,035 20:47:03.238352
37,035 20:47:04.188372,035 20:47:04.238483
36.5,035 20:47:08.188594,035 20:47:08.238671
37,035 20:47:09.188573,035 20:47:09.238570
37.5,035 20:47:10.188606,035 20:47:10.238611
37,035 20:47:11.188730,035 20:47:11.238768
37.5,035 20:47:13.188723,035 20:47:13.238731
37,035 20:47:18.189011,035 20:47:18.238996
37.5,035 20:47:19.188957,035 20:47:19.238966
37,035 20:47:20.188997,035 20:47:20.239006
37.5,035 20:47:23.189132,035 20:47:23.239127
37,035 20:47:24.189275,035 20:47:24.239283
37.5,035 20:47:31.189522,035 20:47:31.239523
38,035 20:47:32.189483,035 20:47:32.239471
50,035 20:47:33.189505,035 20:47:33.239505
49,035 20:47:34.189602,035 20:47:34.239684
50,035 20:47:36.189637,035 20:47:36.239633
49.5,035 20:47:37.189662,035 20:47:37.239666
37.5,035 20:47:38.189789,035 20:47:38.239819
37,035 20:47:40.189838,035 20:47:40.239847
36.5,035 20:47:45.190069,035 20:47:45.239990
37,035 20:47:46.190016,035 20:47:46.240017
37.5,035 20:47:49.190132,035 20:47:49.240140
37,035 20:47:52.190245,035 20:47:52.240257
37.5,035 20:47:58.190585,035 20:47:58.240511
37,035 20:47:59.190523,035 20:47:59.240528
36.5,035 20:48:02.190646,035 20:48:02.240648
37.5,035 20:48:03.190688,035 20:48:03.240690
38,035 20:48:05.190761,035 20:48:05.240813
37.5,035 20:48:08.190884,035 20:48:08.240885
37,035 20:48:09.190917,035 20:48:09.240924
37.5,035 20:48:11.191196,035 20:48:11.241019
38,035 20:48:13.191063,035 20:48:13.241141
37.5,035 20:48:14.191178,035 20:48:14.241231
37,035 20:48:15.191160,035 20:48:15.241164
37.5,035 20:48:16.191185,035 20:48:16.241193
38,035 20:48:18.191269,035 20:48:18.241271
37.5,035 20:48:20.191408,035 20:48:20.241435
37,035 20:48:24.191560,035 20:48:24.241530
37.5,035 20:48:26.191564,035 20:48:26.241580
37,035 20:48:27.191664,035 20:48:27.241723
37.5,035 20:48:28.191647,035 20:48:28.241661
43,035 20:48:30.191800,035 20:48:30.241806
42.5,035 20:48:31.191759,035 20:48:31.241780
43,035 20:48:32.191813,035 20:48:32.241824
42.5,035 20:48:33.191928,035 20:48:33.241972
37,035 20:48:34.191898,035 20:48:34.241904
37.5,035 20:48:35.191932,035 20:48:35.241949
37,035 20:48:37.192085,035 20:48:37.242034
37.5,035 20:48:38.192051,035 20:48:38.242060
37,035 20:48:39.192078,035 20:48:39.242088
37.5,035 20:48:41.192156,035 20:48:41.242163
37,035 20:48:42.192195,035 20:48:42.242202
36.5,035 20:48:45.192309,035 20:48:45.242317
55.5,035 20:48:46.192443,035 20:48:46.242477
55,035 20:48:49.192467,035 20:48:49.242509
54.5,035 20:48:51.192544,035 20:48:51.242561
55,035 20:48:52.192608,035 20:48:52.242615
55.5,035 20:48:54.192691,035 20:48:54.242697
56,035 20:48:55.192728,035 20:48:55.242717
56.5,035 20:48:56.192927,035 20:48:56.242844
55.5,035 20:48:57.192803,035 20:48:57.242811
55,035 20:48:59.192953,035 20:48:59.242995
56.5,035 20:49:00.192912,035 20:49:00.242917
54,035 20:49:01.192983,035 20:49:01.242959
53.5,035 20:49:02.193005,035 20:49:02.243102
53,035 20:49:03.193092,035 20:49:03.243044
40.5,035 20:49:04.193068,035 20:49:04.243079
205.5,035 20:49:05.193158,035 20:49:05.243122
207.5,035 20:49:06.194174,035 20:49:06.243250
55,035 20:49:07.193194,035 20:49:07.243196
37.5,035 20:49:08.193243,035 20:49:08.243240
53.5,035 20:49:09.193451,035 20:49:09.243353
41,035 20:49:11.193347,035 20:49:11.243356
39.5,035 20:49:12.193494,035 20:49:12.243519
38.5,035 20:49:13.193432,035 20:49:13.243435
38,035 20:49:14.193469,035 20:49:14.243475
37.5,035 20:49:15.193518,035 20:49:15.243543
37,035 20:49:16.193644,035 20:49:16.243564
36.5,035 20:49:18.193620,035 20:49:18.243631
37,035 20:49:19.193748,035 20:49:19.243782
36.5,035 20:49:20.193717,035 20:49:20.243705
36,035 20:49:24.193864,035 20:49:24.243876
36.5,035 20:49:26.193985,035 20:49:26.243955
36,035 20:49:27.194000,035 20:49:27.243998
36.5,035 20:49:28.194024,035 20:49:28.244120
36,035 20:49:29.194218,035 20:49:29.244072
36.5,035 20:49:40.194488,035 20:49:40.244494
36,035 20:49:45.194844,035 20:49:45.244898
36.5,035 20:49:46.194715,035 20:49:46.244725
37,035 20:49:47.194756,035 20:49:47.244761
36.5,035 20:49:50.194872,035 20:49:50.244887
36,035 20:49:53.194995,035 20:49:53.245024
36.5,035 20:49:54.195054,035 20:49:54.245074
37,035 20:49:55.195170,035 20:49:55.245093
36.5,035 20:49:56.195134,035 20:49:56.245122
37,035 20:49:59.195247,035 20:49:59.245247
36.5,035 20:50:00.195293,035 20:50:00.245281
37,035 20:50:03.195392,035 20:50:03.245392
36.5,035 20:50:04.195464,035 20:50:04.245554
48.5,035 20:50:07.195597,035 20:50:07.245618
55,035 20:50:10.195660,035 20:50:10.245669
48,035 20:50:11.195828,035 20:50:11.245807
38.5,035 20:50:13.195795,035 20:50:13.245780
38,035 20:50:14.195919,035 20:50:14.245930
37,035 20:50:15.195879,035 20:50:15.245863
36.5,035 20:50:18.196053,035 20:50:18.246001
37,035 20:50:19.196018,035 20:50:19.246017
36,035 20:50:20.196045,035 20:50:20.246060
36.5,035 20:50:23.196161,035 20:50:23.246166
36,035 20:50:24.196303,035 20:50:24.246290
36.5,035 20:50:26.196277,035 20:50:26.246286
37,035 20:50:27.196423,035 20:50:27.246446
36.5,035 20:50:28.196370,035 20:50:28.246362
36,035 20:50:30.196442,035 20:50:30.246526
36.5,035 20:50:31.196525,035 20:50:31.246476
36,035 20:50:35.196640,035 20:50:35.246642
36.5,035 20:50:36.196666,035 20:50:36.246671
36,035 20:50:37.196772,035 20:50:37.246824
36.5,035 20:50:38.196746,035 20:50:38.246751
49,035 20:50:39.196780,035 20:50:39.246784
48.5,035 20:50:40.196919,035 20:50:40.246910
49,035 20:50:41.196867,035 20:50:41.246868
54.5,035 20:50:42.196902,035 20:50:42.246904
55,035 20:50:43.196968,035 20:50:43.247071
54.5,035 20:50:44.197026,035 20:50:44.246998
54,035 20:50:45.197021,035 20:50:45.247028
55,035 20:50:46.197061,035 20:50:46.247139
56.5,035 20:50:48.197142,035 20:50:48.247145
52.5,035 20:50:49.197193,035 20:50:49.247204
54,035 20:50:50.197318,035 20:50:50.247321
54.5,035 20:50:53.197439,035 20:50:53.247445
55,035 20:50:56.197520,035 20:50:56.247569
48.5,035 20:50:58.197540,035 20:50:58.247557
201,035 20:50:59.197585,035 20:50:59.247689
200.5,035 20:51:00.197694,035 20:51:00.247706
75.5,035 20:51:01.197664,035 20:51:01.247665
74,035 20:51:02.197703,035 20:51:02.247709
40,035 20:51:03.197817,035 20:51:03.247843
39,035 20:51:04.197779,035 20:51:04.247787
38,035 20:51:05.197825,035 20:51:05.247826
37,035 20:51:06.197936,035 20:51:06.247979
52.5,035 20:51:08.197960,035 20:51:08.247964
40,035 20:51:09.198061,035 20:51:09.248084
52.5,035 20:51:10.198105,035 20:51:10.248028
53,035 20:51:11.198077,035 20:51:11.248084
52,035 20:51:12.198116,035 20:51:12.248124
51.5,035 20:51:15.198238,035 20:51:15.248235
52,035 20:51:16.198373,035 20:51:16.248393
52.5,035 20:51:19.198496,035 20:51:19.248520
52,035 20:51:23.198649,035 20:51:23.248548
54.5,035 20:51:24.198583,035 20:51:24.248585
53.5,035 20:51:25.198618,035 20:51:25.248627
54.5,035 20:51:26.198727,035 20:51:26.248741
51.5,035 20:51:27.198716,035 20:51:27.248700
40,035 20:51:28.198753,035 20:51:28.248745
39,035 20:51:29.198846,035 20:51:29.248889
37.5,035 20:51:30.198831,035 20:51:30.248825
227,035 20:51:31.198873,035 20:51:31.248866
222.5,035 20:51:32.199022,035 20:51:32.249019
73.5,035 20:51:33.198949,035 20:51:33.248945
36,035 20:51:34.198989,035 20:51:34.248981
35.5,035 20:51:35.199092,035 20:51:35.249115
36,035 20:51:36.199207,035 20:51:36.249056
35.5,035 20:51:37.199117,035 20:51:37.249108
36,035 20:51:38.199137,035 20:51:38.249145
35.5,035 20:51:39.199264,035 20:51:39.249247
35,035 20:51:42.199389,035 20:51:42.249368
35.5,035 20:51:44.199363,035 20:51:44.249366
35,035 20:51:45.199506,035 20:51:45.249533
35.5,035 20:51:46.199455,035 20:51:46.249453
35,035 20:51:51.199637,035 20:51:51.249651
35.5,035 20:51:59.199956,035 20:51:59.249960
35,035 20:52:00.199988,035 20:52:00.250001
35.5,035 20:52:01.200039,035 20:52:01.250085
35,035 20:52:03.200104,035 20:52:03.250122
35.5,035 20:52:05.200285,035 20:52:05.250302
36,035 20:52:08.200409,035 20:52:08.250397
35.5,035 20:52:09.200333,035 20:52:09.250342
36,035 20:52:11.200538,035 20:52:11.250548
35.5,035 20:52:12.200489,035 20:52:12.250501
36,035 20:52:18.200770,035 20:52:18.250804
35.5,035 20:52:19.200740,035 20:52:19.250732
35,035 20:52:29.201118,035 20:52:29.251120
53,035 20:52:31.201266,035 20:52:31.251305
54,035 20:52:32.201224,035 20:52:32.251235
48,035 20:52:33.201264,035 20:52:33.251274
37.5,035 20:52:34.201382,035 20:52:34.251386
37,035 20:52:35.201338,035 20:52:35.251352
47,035 20:52:36.201375,035 20:52:36.251392
36.5,035 20:52:37.201513,035 20:52:37.251548
36,035 20:52:38.201471,035 20:52:38.251460
35.5,035 20:52:39.201487,035 20:52:39.251503
36,035 20:52:40.201550,035 20:52:40.251633
35.5,035 20:52:41.201662,035 20:52:41.251591
35,035 20:52:45.201720,035 20:52:45.251740
35.5,035 20:52:46.201772,035 20:52:46.251790
36,035 20:52:51.202003,035 20:52:51.251989
35.5,035 20:52:52.202016,035 20:52:52.252035
35,035 20:52:55.202124,035 20:52:55.252133
35.5,035 20:52:59.202285,035 20:52:59.252296
36,035 20:53:02.202431,035 20:53:02.252436
35.5,035 20:53:04.202502,035 20:53:04.252507
36,035 20:53:06.202575,035 20:53:06.252698
35.5,035 20:53:07.202680,035 20:53:07.252622
35,035 20:53:08.202647,035 20:53:08.252652
36,035 20:53:10.202793,035 20:53:10.252847
35.5,035 20:53:11.202777,035 20:53:11.252785
35,035 20:53:13.202932,035 20:53:13.252966
35.5,035 20:53:14.202905,035 20:53:14.252908
35,035 20:53:15.202945,035 20:53:15.252953
36.5,035 20:53:17.203054,035 20:53:17.253032
51.5,035 20:53:18.203050,035 20:53:18.253058
52,035 20:53:19.203089,035 20:53:19.253174
51,035 20:53:27.203413,035 20:53:27.253421
52.5,035 20:53:28.203448,035 20:53:28.253454
50.5,035 20:53:29.203547,035 20:53:29.253626
50,035 20:53:33.203712,035 20:53:33.253768
50.5,035 20:53:34.203692,035 20:53:34.253695
50,035 20:53:35.203724,035 20:53:35.253732
51,035 20:53:36.203885,035 20:53:36.253980
50.5,035 20:53:37.203853,035 20:53:37.253812
38,035 20:53:40.204027,035 20:53:40.254104
37,035 20:53:41.203961,035 20:53:41.253976
50.5,035 20:53:42.204003,035 20:53:42.254008
38.5,035 20:53:43.205197,035 20:53:43.254162
37,035 20:53:44.204083,035 20:53:44.254092
36,035 20:53:45.204121,035 20:53:45.254134
35.5,035 20:53:48.204232,035 20:53:48.254241
36,035 20:53:49.204286,035 20:53:49.254381
35,035 20:53:50.204401,035 20:53:50.254470
34.5,035 20:53:52.204387,035 20:53:52.254390
35,035 20:53:53.204485,035 20:53:53.254540
35.5,035 20:53:56.204616,035 20:53:56.254655
35,035 20:53:57.204582,035 20:53:57.254587
35.5,035 20:53:58.204650,035 20:53:58.254622
46.5,035 20:54:00.204712,035 20:54:00.254710
61,035 20:54:01.204754,035 20:54:01.254752
51.5,035 20:54:03.204908,035 20:54:03.254892
50.5,035 20:54:04.204879,035 20:54:04.254862
49.5,035 20:54:05.204894,035 20:54:05.254900
49,035 20:54:06.205009,035 20:54:06.255038
48,035 20:54:07.204969,035 20:54:07.254980
49,035 20:54:08.205024,035 20:54:08.255016
47.5,035 20:54:09.205120,035 20:54:09.255167
48,035 20:54:10.205103,035 20:54:10.255090
48.5,035 20:54:12.205231,035 20:54:12.255299
48,035 20:54:13.205225,035 20:54:13.255204
37,035 20:54:16.205402,035 20:54:16.255570
35.5,035 20:54:17.205369,035 20:54:17.255376
35,035 20:54:19.205549,035 20:54:19.255550
34.5,035 20:54:20.205467,035 20:54:20.255474
35,035 20:54:22.205652,035 20:54:22.255674
34.5,035 20:54:23.205594,035 20:54:23.255600
34,035 20:54:28.205791,035 20:54:28.255783
34.5,035 20:54:30.205851,035 20:54:30.255860
35,035 20:54:35.206134,035 20:54:35.256177
34.5,035 20:54:37.206139,035 20:54:37.256162
35,035 20:54:38.206200,035 20:54:38.256314
34.5,035 20:54:39.206319,035 20:54:39.256240
35,035 20:54:41.206291,035 20:54:41.256306
35.5,035 20:54:43.206375,035 20:54:43.256379
35,035 20:54:44.206416,035 20:54:44.256426
34.5,035 20:54:45.206547,035 20:54:45.256532
35,035 20:54:46.206499,035 20:54:46.256498
35.5,035 20:54:49.206642,035 20:54:49.256620
35,035 20:54:50.206646,035 20:54:50.256664
34.5,035 20:54:51.206717,035 20:54:51.256829
35,035 20:54:52.206833,035 20:54:52.256752
38.5,035 20:54:53.206771,035 20:54:53.256775
50,035 20:54:54.206820,035 20:54:54.256814
49.5,035 20:54:55.206950,035 20:54:55.256925
50.5,035 20:54:56.206906,035 20:54:56.256892
77.5,035 20:54:57.206943,035 20:54:57.256951
54.5,035 20:54:58.207078,035 20:54:58.257065
53,035 20:54:59.207014,035 20:54:59.257025
35.5,035 20:55:00.207056,035 20:55:00.257067
34.5,035 20:55:01.207201,035 20:55:01.257222
35,035 20:55:02.207145,035 20:55:02.257148
49,035 20:55:06.207300,035 20:55:06.257303
48,035 20:55:07.207337,035 20:55:07.257421
48.5,035 20:55:08.207474,035 20:55:08.257442
37.5,035 20:55:09.207422,035 20:55:09.257424
47.5,035 20:55:10.207454,035 20:55:10.257465
48,035 20:55:11.207594,035 20:55:11.257613
47.5,035 20:55:15.207673,035 20:55:15.257666
48,035 20:55:16.207701,035 20:55:16.257705
47.5,035 20:55:19.207819,035 20:55:19.257888
48,035 20:55:21.207974,035 20:55:21.257981
47.5,035 20:55:23.207984,035 20:55:23.257991
48.5,035 20:55:24.208143,035 20:55:24.258113
48,035 20:55:25.208089,035 20:55:25.258082
48.5,035 20:55:27.208241,035 20:55:27.258273
48,035 20:55:29.208230,035 20:55:29.258231
48.5,035 20:55:30.208274,035 20:55:30.258342
48,035 20:55:31.208360,035 20:55:31.258314
48.5,035 20:55:32.208346,035 20:55:32.258354
48,035 20:55:33.208379,035 20:55:33.258451
47.5,035 20:55:34.208535,035 20:55:34.258495
48,035 20:55:36.208500,035 20:55:36.258510
48.5,035 20:55:38.208584,035 20:55:38.258594
48,035 20:55:39.208622,035 20:55:39.258625
48.5,035 20:55:40.208854,035 20:55:40.258879
48,035 20:55:42.208739,035 20:55:42.258753
47.5,035 20:55:45.208908,035 20:55:45.258866
37.5,035 20:55:46.208894,035 20:55:46.258904
36.5,035 20:55:47.208999,035 20:55:47.259058
36,035 20:55:48.208972,035 20:55:48.258980
35.5,035 20:55:49.209011,035 20:55:49.259015
35,035 20:55:50.209158,035 20:55:50.259138
34.5,035 20:55:57.209418,035 20:55:57.259341
35,035 20:55:58.209408,035 20:55:58.259420
34.5,035 20:55:59.209407,035 20:55:59.259416
35,035 20:56:00.209548,035 20:56:00.259544
34.5,035 20:56:10.209924,035 20:56:10.259887
35,035 20:56:13.210048,035 20:56:13.260060
34.5,035 20:56:14.209980,035 20:56:14.259992
35,035 20:56:16.210185,035 20:56:16.260199
34.5,035 20:56:17.210127,035 20:56:17.260105
35,035 20:56:18.210152,035 20:56:18.260152
34.5,035 20:56:21.210285,035 20:56:21.260272
34,035 20:56:23.210401,035 20:56:23.260432
34.5,035 20:56:24.210403,035 20:56:24.260397
35,035 20:56:25.210435,035 20:56:25.260419
34.5,035 20:56:26.210552,035 20:56:26.260540
35,035 20:56:28.210544,035 20:56:28.260542
34.5,035 20:56:29.210676,035 20:56:29.260684
35,035 20:56:31.210660,035 20:56:31.260659
34.5,035 20:56:32.210687,035 20:56:32.260767
35,035 20:56:35.210800,035 20:56:35.260812
34.5,035 20:56:36.210909,035 20:56:36.260928
35,035 20:56:38.210939,035 20:56:38.260934
34.5,035 20:56:41.211078,035 20:56:41.261068
35,035 20:56:44.211163,035 20:56:44.261171
34,035 20:56:45.211217,035 20:56:45.261275
34.5,035 20:56:46.211319,035 20:56:46.261277
34,035 20:56:47.211295,035 20:56:47.261305
47,035 20:56:48.211342,035 20:56:48.261348
47.5,035 20:56:50.211417,035 20:56:50.261422
48,035 20:56:51.211448,035 20:56:51.261445
47.5,035 20:56:52.211581,035 20:56:52.261562
48,035 20:56:54.211561,035 20:56:54.261565
48.5,035 20:56:55.211694,035 20:56:55.261724
48,035 20:56:56.211653,035 20:56:56.261647
47.5,035 20:56:59.211801,035 20:56:59.261760
48,035 20:57:01.211845,035 20:57:01.261923
49.5,035 20:57:02.211936,035 20:57:02.261997
48,035 20:57:03.211940,035 20:57:03.261935
38.5,035 20:57:04.211976,035 20:57:04.261982
37,035 20:57:05.212098,035 20:57:05.262106
47,035 20:57:06.212043,035 20:57:06.262054
51.5,035 20:57:09.212167,035 20:57:09.262176
47.5,035 20:57:10.212204,035 20:57:10.262219
47,035 20:57:11.212319,035 20:57:11.262388
47.5,035 20:57:12.212303,035 20:57:12.262300
47,035 20:57:13.212325,035 20:57:13.262329
46.5,035 20:57:14.212365,035 20:57:14.262370
47,035 20:57:15.212473,035 20:57:15.262505
46.5,035 20:57:17.212488,035 20:57:17.262492
47.5,035 20:57:18.212629,035 20:57:18.262637
47,035 20:57:21.212712,035 20:57:21.262772
37.5,035 20:57:22.212690,035 20:57:22.262699
36.5,035 20:57:23.212737,035 20:57:23.262730
36,035 20:57:25.212844,035 20:57:25.262832
35.5,035 20:57:26.212868,035 20:57:26.262869
35,035 20:57:27.212905,035 20:57:27.262929
35.5,035 20:57:31.213157,035 20:57:31.263158
35,035 20:57:32.213092,035 20:57:32.263101
34.5,035 20:57:36.213251,035 20:57:36.263256
49.5,035 20:57:39.213372,035 20:57:39.263374
50,035 20:57:41.213551,035 20:57:41.263543
49.5,035 20:57:42.213499,035 20:57:42.263498
50.5,035 20:57:43.213548,035 20:57:43.263587
50,035 20:57:44.213788,035 20:57:44.263702
49.5,035 20:57:46.213653,035 20:57:46.263663
50.5,035 20:57:52.213909,035 20:57:52.263899
49.5,035 20:57:53.213924,035 20:57:53.263936
51,035 20:57:54.214058,035 20:57:54.264088
49.5,035 20:57:55.214007,035 20:57:55.264008
52.5,035 20:57:56.214058,035 20:57:56.264051
47,035 20:57:58.214143,035 20:57:58.264128
46.5,035 20:57:59.214166,035 20:57:59.264171
47,035 20:58:02.214342,035 20:58:02.264302
46.5,035 20:58:03.214404,035 20:58:03.264521
46,035 20:58:05.214426,035 20:58:05.264417
46.5,035 20:58:06.214456,035 20:58:06.264456
47.5,035 20:58:09.214578,035 20:58:09.264574
37.5,035 20:58:10.214722,035 20:58:10.264729
37,035 20:58:11.214662,035 20:58:11.264657
36.5,035 20:58:12.214677,035 20:58:12.264682
36,035 20:58:13.214794,035 20:58:13.264854
35.5,035 20:58:14.214784,035 20:58:14.264774
35,035 20:58:15.214825,035 20:58:15.264800
34.5,035 20:58:20.215133,035 20:58:20.265106
35,035 20:58:24.215150,035 20:58:24.265155
34.5,035 20:58:26.215305,035 20:58:26.265346
47,035 20:58:28.215292,035 20:58:28.265300
37.5,035 20:58:30.215466,035 20:58:30.265495
37,035 20:58:31.215415,035 20:58:31.265426
36.5,035 20:58:32.215453,035 20:58:32.265455
50.5,035 20:58:33.215661,035 20:58:33.265594
49.5,035 20:58:34.215524,035 20:58:34.265529
50.5,035 20:58:35.215568,035 20:58:35.265569
50,035 20:58:36.215717,035 20:58:36.265732
49.5,035 20:58:37.215700,035 20:58:37.265656
50.5,035 20:58:38.215685,035 20:58:38.265688
50,035 20:58:43.215983,035 20:58:43.266000
49.5,035 20:58:45.215962,035 20:58:45.265969
50.5,035 20:58:46.216104,035 20:58:46.266091
51,035 20:58:47.216048,035 20:58:47.266052
50.5,035 20:58:49.216171,035 20:58:49.266252
50,035 20:58:50.216178,035 20:58:50.266169
46.5,035 20:58:52.216262,035 20:58:52.266366
46,035 20:58:55.216425,035 20:58:55.266435
46.5,035 20:59:00.216552,035 20:59:00.266564
80,035 20:59:01.216591,035 20:59:01.266605
42.5,035 20:59:02.216729,035 20:59:02.266763
42,035 20:59:03.216679,035 20:59:03.266687
43.5,035 20:59:04.216748,035 20:59:04.266722
44,035 20:59:05.216787,035 20:59:05.266873
45,035 20:59:06.216894,035 20:59:06.266829
45.5,035 20:59:07.216830,035 20:59:07.266845
46,035 20:59:09.217000,035 20:59:09.267006
38,035 20:59:10.216969,035 20:59:10.266966
37.5,035 20:59:11.217022,035 20:59:11.267019
36.5,035 20:59:12.217114,035 20:59:12.267144
35.5,035 20:59:13.217089,035 20:59:13.267100
35,035 20:59:14.217134,035 20:59:14.267141
34.5,035 20:59:15.217224,035 20:59:15.267281
35,035 20:59:16.217224,035 20:59:16.267211
34.5,035 20:59:21.217407,035 20:59:21.267412
35,035 20:59:22.217519,035 20:59:22.267532
34,035 20:59:23.217503,035 20:59:23.267491
46,035 20:59:24.217524,035 20:59:24.267527
37,035 20:59:25.217676,035 20:59:25.267642
36.5,035 20:59:27.217642,035 20:59:27.267651
51,035 20:59:28.217762,035 20:59:28.267806
50.5,035 20:59:29.217736,035 20:59:29.267733
50,035 20:59:33.217894,035 20:59:33.267902
